,Unnamed: 0,Measured Depth m,Weight on Bit kkgf,Average Standpipe Pressure kPa,Average Surface Torque kN.m,Rate of Penetration m/h,Average Rotary Speed rpm,Mud Flow In L/min,Mud Density In g/cm3,Diameter mm,Average Hookload kkgf,Hole Depth (TVD) m,USROP Gamma gAPI
38,38,303.172,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.1617,67.662
39,39,303.249,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.239424,67.662
40,40,303.276,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.2665512,65.246
41,41,303.331,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.3211104,65.246
42,42,303.413,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.402492,65.246
43,43,303.428,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.4189512,65.246
44,44,303.489,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.4805208,65.246
45,45,303.572,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.5631216,65.246
46,46,303.581,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.5713512,62.829
47,47,303.669,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.660048,62.829
48,48,303.733,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.7237512,48.33
49,49,303.773,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.7642896,48.33
50,50,303.876,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.867312,48.33
51,51,303.886,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.8758464,36.248
52,52,303.98,5.088383785,9433.000186,4.829999755,52.47999948,182,3435.379881,1.029999991,444.5,93.88527132,303.9712488,36.248
53,53,304.001,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.0400086,36.248
54,54,304.038,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.0282464,36.248
55,55,304.084,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.0754904,36.248
56,56,304.19,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.1806464,33.831
57,57,304.294,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.2836688,33.831
58,58,304.343,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.3330464,33.831
59,59,304.398,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.3879104,33.831
60,60,304.495,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.4854464,31.415
61,61,304.501,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.4918472,31.415
62,62,304.602,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.592736,31.415
63,63,304.648,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.6378464,28.998
64,64,304.706,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.6972824,28.998
65,65,304.8,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.7902464,28.998
66,66,304.812,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.8012192,28.998
67,67,304.916,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.905156,28.998
68,68,304.952,3.569006742,9101.999663,3.760000432,68.68000031,183,3435.18994,1.029999991,444.5,95.40464654,304.9426464,33.831
69,69,305.001,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305,33.831
70,70,305.019,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.008788,33.831
71,71,305.105,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.0950464,36.248
72,72,305.12,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.1115056,36.248
73,73,305.224,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.2154424,36.248
74,74,305.257,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.2474464,36.248
75,75,305.327,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.3184648,36.248
76,76,305.41,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.3998464,31.415
77,77,305.431,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.4224016,31.415
78,78,305.532,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.522376,31.415
79,79,305.562,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.5522464,33.831
80,80,305.632,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.6223504,33.831
81,81,305.714,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.7046464,31.415
82,82,305.736,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.7259824,31.415
83,83,305.839,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.8296144,31.415
84,84,305.867,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.8570464,31.415
85,85,305.943,2.743036808,9498.999788,3.130000641,71.69999681,183,3435.18994,1.029999991,444.5,96.23062192,305.933856,31.415
86,86,306.001,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.0299988,31.415
87,87,306.019,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.0094464,36.248
88,88,306.047,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.0377928,36.248
89,89,306.15,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.1417296,36.248
90,90,306.172,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.1618464,36.248
91,91,306.257,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.2459712,36.248
92,92,306.324,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.3142464,31.415
93,93,306.361,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.349908,31.415
94,94,306.464,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.4532352,31.415
95,95,306.476,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.4666464,36.248
96,96,306.565,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.5559528,36.248
97,97,306.629,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.6190464,41.081
98,98,306.668,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.6595848,41.081
99,99,306.772,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.7632168,41.081
100,100,306.781,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.7714464,38.664
101,101,306.876,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.8668488,38.664
102,102,306.934,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.9238464,38.664
103,103,306.979,3.630189548,13538.99994,3.929999666,68.83999623,199,4020.840089,1.029999991,444.5,95.343466,306.9704808,38.664
104,104,307.001,4.751877213,16019.99969,3.959999849,66.04000102,212,4427.229979,1.029999991,444.5,94.21158022,307.0199892,38.664
105,105,307.083,4.751877213,16019.99969,3.959999849,66.04000102,212,4427.229979,1.029999991,444.5,94.21158022,307.0716744,38.664
106,106,307.086,4.751877213,16019.99969,3.959999849,66.04000102,212,4427.229979,1.029999991,444.5,94.21158022,307.0762464,33.831
107,107,307.184,4.751877213,16019.99969,3.959999849,66.04000102,212,4427.229979,1.029999991,444.5,94.21158022,307.1725632,33.831
108,108,307.238,4.751877213,16019.99969,3.959999849,66.04000102,212,4427.229979,1.029999991,444.5,94.21158022,307.2286464,36.248
109,109,307.281,4.751877213,16019.99969,3.959999849,66.04000102,212,4427.229979,1.029999991,444.5,94.21158022,307.270404,36.248
110,110,307.373,4.751877213,16019.99969,3.959999849,66.04000102,212,4427.229979,1.029999991,444.5,94.21158022,307.363368,36.248
111,111,307.391,4.751877213,16019.99969,3.959999849,66.04000102,212,4427.229979,1.029999991,444.5,94.21158022,307.3810464,43.497
112,112,307.47,4.751877213,16019.99969,3.959999849,66.04000102,212,4427.229979,1.029999991,444.5,94.21158022,307.4590752,43.497
113,113,307.543,4.751877213,16019.99969,3.959999849,66.04000102,212,4427.229979,1.029999991,444.5,94.21158022,307.5334464,41.081
114,114,307.571,4.751877213,16019.99969,3.959999849,66.04000102,212,4427.229979,1.029999991,444.5,94.21158022,307.559964,41.081
115,115,307.671,4.751877213,16019.99969,3.959999849,66.04000102,212,4427.229979,1.029999991,444.5,94.21158022,307.6629864,41.081
116,116,307.696,4.751877213,16019.99969,3.959999849,66.04000102,212,4427.229979,1.029999991,444.5,94.21158022,307.6858464,41.081
117,117,307.778,4.751877213,16019.99969,3.959999849,66.04000102,212,4427.229979,1.029999991,444.5,94.21158022,307.7666184,41.081
118,118,307.848,4.751877213,16019.99969,3.959999849,66.04000102,212,4427.229979,1.029999991,444.5,94.21158022,307.8382464,36.248
119,119,307.882,4.751877213,16019.99969,3.959999849,66.04000102,212,4427.229979,1.029999991,444.5,94.21158022,307.8711648,36.248
120,120,307.985,4.751877213,16019.99969,3.959999849,66.04000102,212,4427.229979,1.029999991,444.5,94.21158022,307.9754064,36.248
121,121,308,3.29368343,14563.99994,3.319999545,69.05999752,212,4426.810059,1.029999991,444.5,95.66977491,307.9906464,26.582
122,122,308.089,3.29368343,14563.99994,3.319999545,69.05999752,212,4426.810059,1.029999991,444.5,95.66977491,308.0793432,26.582
123,123,308.153,3.29368343,14563.99994,3.319999545,69.05999752,212,4426.810059,1.029999991,444.5,95.66977491,308.1430464,26.582
124,124,308.192,3.29368343,14563.99994,3.319999545,69.05999752,212,4426.810059,1.029999991,444.5,95.66977491,308.1835848,26.582
125,125,308.296,3.29368343,14563.99994,3.319999545,69.05999752,212,4426.810059,1.029999991,444.5,95.66977491,308.2878264,26.582
126,126,308.305,3.29368343,14563.99994,3.319999545,69.05999752,212,4426.810059,1.029999991,444.5,95.66977491,308.2954464,24.165
127,127,308.397,3.29368343,14563.99994,3.319999545,69.05999752,212,4426.810059,1.029999991,444.5,95.66977491,308.3871912,24.165
128,128,308.458,3.29368343,14563.99994,3.319999545,69.05999752,212,4426.810059,1.029999991,444.5,95.66977491,308.4478464,19.332
129,129,308.5,3.29368343,14563.99994,3.319999545,69.05999752,212,4426.810059,1.029999991,444.5,95.66977491,308.4917376,19.332
130,130,308.607,3.29368343,14563.99994,3.319999545,69.05999752,212,4426.810059,1.029999991,444.5,95.66977491,308.596284,19.332
131,131,308.61,3.29368343,14563.99994,3.319999545,69.05999752,212,4426.810059,1.029999991,444.5,95.66977491,308.6002464,7.25
132,132,308.72,3.29368343,14563.99994,3.319999545,69.05999752,212,4426.810059,1.029999991,444.5,95.66977491,308.7108888,7.25
133,133,308.762,3.29368343,14563.99994,3.319999545,69.05999752,212,4426.810059,1.029999991,444.5,95.66977491,308.7526464,7.25
134,134,308.814,3.29368343,14563.99994,3.319999545,69.05999752,212,4426.810059,1.029999991,444.5,95.66977491,308.8047672,7.25
135,135,308.915,3.29368343,14563.99994,3.319999545,69.05999752,212,4426.810059,1.029999991,444.5,95.66977491,308.9050464,4.833
136,136,308.918,3.29368343,14563.99994,3.319999545,69.05999752,212,4426.810059,1.029999991,444.5,95.66977491,308.9093136,4.833
137,137,309,0.907547614,14182.00073,3.04000009,70.91999806,212,4425.979979,1.029999991,444.5,98.06610613,309.0000001,4.833
138,138,309.034,0.907547614,14182.00073,3.04000009,70.91999806,212,4425.979979,1.029999991,444.5,98.06610613,309.0242232,4.833
139,139,309.067,0.907547614,14182.00073,3.04000009,70.91999806,212,4425.979979,1.029999991,444.5,98.06610613,309.0574464,2.417
140,140,309.137,0.907547614,14182.00073,3.04000009,70.91999806,212,4425.979979,1.029999991,444.5,98.06610613,309.1284648,2.417
141,141,309.22,0.907547614,14182.00073,3.04000009,70.91999806,212,4425.979979,1.029999991,444.5,98.06610613,309.2098464,2.417
142,142,309.244,0.907547614,14182.00073,3.04000009,70.91999806,212,4425.979979,1.029999991,444.5,98.06610613,309.2327064,2.417
143,143,309.348,0.907547614,14182.00073,3.04000009,70.91999806,212,4425.979979,1.029999991,444.5,98.06610613,309.3372528,2.417
144,144,309.372,0.907547614,14182.00073,3.04000009,70.91999806,212,4425.979979,1.029999991,444.5,98.06610613,309.3622464,2.417
145,145,309.451,0.907547614,14182.00073,3.04000009,70.91999806,212,4425.979979,1.029999991,444.5,98.06610613,309.4417992,2.417
146,146,309.524,0.907547614,14182.00073,3.04000009,70.91999806,212,4425.979979,1.029999991,444.5,98.06610613,309.5146464,2.417
147,147,309.555,0.907547614,14182.00073,3.04000009,70.91999806,212,4425.979979,1.029999991,444.5,98.06610613,309.5460408,2.417
148,148,309.662,0.907547614,14182.00073,3.04000009,70.91999806,212,4425.979979,1.029999991,444.5,98.06610613,309.6502824,2.417
149,149,309.677,0.907547614,14182.00073,3.04000009,70.91999806,212,4425.979979,1.029999991,444.5,98.06610613,309.6670464,2.417
150,150,309.765,0.907547614,14182.00073,3.04000009,70.91999806,212,4425.979979,1.029999991,444.5,98.06610613,309.7548288,2.417
151,151,309.829,0.907547614,14182.00073,3.04000009,70.91999806,212,4425.979979,1.029999991,444.5,98.06610613,309.8194464,2.417
152,152,309.869,0.907547614,14182.00073,3.04000009,70.91999806,212,4425.979979,1.029999991,444.5,98.06610613,309.8590704,2.417
153,153,309.972,0.907547614,14182.00073,3.04000009,70.91999806,212,4425.979979,1.029999991,444.5,98.06610613,309.9636168,2.417
154,154,309.982,0.907547614,14182.00073,3.04000009,70.91999806,212,4425.979979,1.029999991,444.5,98.06610613,309.9718464,2.417
155,155,310,1.284842572,14110.00061,2.140000001,72.30999762,212,4426.709962,1.029999991,444.5,97.68881616,310.0499877,2.417
156,156,310.079,1.284842572,14110.00061,2.140000001,72.30999762,212,4426.709962,1.029999991,444.5,97.68881616,310.0678584,2.417
157,157,310.134,1.284842572,14110.00061,2.140000001,72.30999762,212,4426.709962,1.029999991,444.5,97.68881616,310.1242464,2.417
158,158,310.183,1.284842572,14110.00061,2.140000001,72.30999762,212,4426.709962,1.029999991,444.5,97.68881616,310.1724048,2.417
159,159,310.286,1.284842572,14110.00061,2.140000001,72.30999762,212,4426.709962,1.029999991,444.5,97.68881616,310.2766464,2.417
160,160,310.39,1.284842572,14110.00061,2.140000001,72.30999762,212,4426.709962,1.029999991,444.5,97.68881616,310.3811928,2.417
161,161,310.439,1.284842572,14110.00061,2.140000001,72.30999762,212,4426.709962,1.029999991,444.5,97.68881616,310.4290464,2.417
162,162,310.497,1.284842572,14110.00061,2.140000001,72.30999762,212,4426.709962,1.029999991,444.5,97.68881616,310.4857392,2.417
163,163,310.591,1.284842572,14110.00061,2.140000001,72.30999762,212,4426.709962,1.029999991,444.5,97.68881616,310.5814464,2.417
164,164,310.6,1.284842572,14110.00061,2.140000001,72.30999762,212,4426.709962,1.029999991,444.5,97.68881616,310.5899808,2.417
165,165,310.704,1.284842572,14110.00061,2.140000001,72.30999762,212,4426.709962,1.029999991,444.5,97.68881616,310.6945272,2.417
166,166,310.744,1.284842572,14110.00061,2.140000001,72.30999762,212,4426.709962,1.029999991,444.5,97.68881616,310.7338464,2.417
167,167,310.808,1.284842572,14110.00061,2.140000001,72.30999762,212,4426.709962,1.029999991,444.5,97.68881616,310.7987688,2.417
168,168,310.896,1.284842572,14110.00061,2.140000001,72.30999762,212,4426.709962,1.029999991,444.5,97.68881616,310.8862464,2.417
169,169,310.914,1.284842572,14110.00061,2.140000001,72.30999762,212,4426.709962,1.029999991,444.5,97.68881616,310.9030104,2.417
170,170,311,1.070702068,12573.99978,2.070000476,69.55999753,205,4130.669923,1.029999991,444.5,97.89275628,311.0100098,2.417
171,171,311.018,1.070702068,12573.99978,2.070000476,69.55999753,205,4130.669923,1.029999991,444.5,97.89275628,311.007252,2.417
172,172,311.048,1.070702068,12573.99978,2.070000476,69.55999753,205,4130.669923,1.029999991,444.5,97.89275628,311.0386464,2.417
173,173,311.122,1.070702068,12573.99978,2.070000476,69.55999753,205,4130.669923,1.029999991,444.5,97.89275628,311.1117984,2.417
174,174,311.201,1.070702068,12573.99978,2.070000476,69.55999753,205,4130.669923,1.029999991,444.5,97.89275628,311.1910464,2.417
175,175,311.225,1.070702068,12573.99978,2.070000476,69.55999753,205,4130.669923,1.029999991,444.5,97.89275628,311.2166496,2.417
176,176,311.329,1.070702068,12573.99978,2.070000476,69.55999753,205,4130.669923,1.029999991,444.5,97.89275628,311.3202816,2.417
177,177,311.353,1.070702068,12573.99978,2.070000476,69.55999753,205,4130.669923,1.029999991,444.5,97.89275628,311.3434464,2.417
178,178,311.435,1.070702068,12573.99978,2.070000476,69.55999753,205,4130.669923,1.029999991,444.5,97.89275628,311.4245232,2.417
179,179,311.506,1.070702068,12573.99978,2.070000476,69.55999753,205,4130.669923,1.029999991,444.5,97.89275628,311.4958464,2.417
180,180,311.539,1.070702068,12573.99978,2.070000476,69.55999753,205,4130.669923,1.029999991,444.5,97.89275628,311.5290696,2.417
181,181,311.643,1.070702068,12573.99978,2.070000476,69.55999753,205,4130.669923,1.029999991,444.5,97.89275628,311.633616,2.417
182,182,311.658,1.070702068,12573.99978,2.070000476,69.55999753,205,4130.669923,1.029999991,444.5,97.89275628,311.6482464,2.417
183,183,311.746,1.070702068,12573.99978,2.070000476,69.55999753,205,4130.669923,1.029999991,444.5,97.89275628,311.7381624,2.417
184,184,311.81,1.070702068,12573.99978,2.070000476,69.55999753,205,4130.669923,1.029999991,444.5,97.89275628,311.8006464,2.417
185,185,311.853,1.070702068,12573.99978,2.070000476,69.55999753,205,4130.669923,1.029999991,444.5,97.89275628,311.842404,2.417
186,186,311.957,1.070702068,12573.99978,2.070000476,69.55999753,205,4130.669923,1.029999991,444.5,97.89275628,311.9466456,2.417
187,187,311.963,1.070702068,12573.99978,2.070000476,69.55999753,205,4130.669923,1.029999991,444.5,97.89275628,311.9530464,2.417
188,188,311.999,1.009519261,9009.999849,1.689999956,71.01999654,183,3434.949953,1.029999991,444.5,97.96413629,311.9999999,2.417
189,189,312.06,1.009519261,9009.999849,1.689999956,71.01999654,183,3434.949953,1.029999991,444.5,97.96413629,312.051192,2.417
190,190,312.115,1.009519261,9009.999849,1.689999956,71.01999654,183,3434.949953,1.029999991,444.5,97.96413629,312.1054464,2.417
191,191,312.164,1.009519261,9009.999849,1.689999956,71.01999654,183,3434.949953,1.029999991,444.5,97.96413629,312.1554336,2.417
192,192,312.268,1.009519261,9009.999849,1.689999956,71.01999654,183,3434.949953,1.029999991,444.5,97.96413629,312.2578464,2.417
193,193,312.271,1.009519261,9009.999849,1.689999956,71.01999654,183,3434.949953,1.029999991,444.5,97.96413629,312.2596752,2.417
194,194,312.374,1.009519261,9009.999849,1.689999956,71.01999654,183,3434.949953,1.029999991,444.5,97.96413629,312.3642216,2.417
195,195,312.42,1.009519261,9009.999849,1.689999956,71.01999654,183,3434.949953,1.029999991,444.5,97.96413629,312.4102464,2.417
196,196,312.478,1.009519261,9009.999849,1.689999956,71.01999654,183,3434.949953,1.029999991,444.5,97.96413629,312.4684632,2.417
197,197,312.572,1.009519261,9009.999849,1.689999956,71.01999654,183,3434.949953,1.029999991,444.5,97.96413629,312.5626464,2.417
198,198,312.582,1.009519261,9009.999849,1.689999956,71.01999654,183,3434.949953,1.029999991,444.5,97.96413629,312.5733144,2.417
199,199,312.688,1.009519261,9009.999849,1.689999956,71.01999654,183,3434.949953,1.029999991,444.5,97.96413629,312.677556,2.417
200,200,312.725,1.009519261,9009.999849,1.689999956,71.01999654,183,3434.949953,1.029999991,444.5,97.96413629,312.7150464,2.417
201,201,312.792,1.009519261,9009.999849,1.689999956,71.01999654,183,3434.949953,1.029999991,444.5,97.96413629,312.7817976,2.417
202,202,312.877,1.009519261,9009.999849,1.689999956,71.01999654,183,3434.949953,1.029999991,444.5,97.96413629,312.8674464,2.417
203,203,312.895,1.009519261,9009.999849,1.689999956,71.01999654,183,3434.949953,1.029999991,444.5,97.96413629,312.8860392,2.417
204,204,312.999,1.162476505,8948.999787,1.999999595,68.50000006,182,3434.709961,1.029999991,444.5,97.81117723,313.019989,2.417
205,205,313.03,1.162476505,8948.999787,1.999999595,68.50000006,182,3434.709961,1.029999991,444.5,97.81117723,313.0198464,2.417
206,206,313.106,1.162476505,8948.999787,1.999999595,68.50000006,182,3434.709961,1.029999991,444.5,97.81117723,313.0948272,2.417
207,207,313.182,1.162476505,8948.999787,1.999999595,68.50000006,182,3434.709961,1.029999991,444.5,97.81117723,313.1722464,2.417
